ID,Código de Barras,Nombre,Precio Venta ($),Precio Compra ($),Categoría
722,,mayonesa la lucha,3.22,2.80,Mayonessa
7,,mayonesa mavesa G,4.32,3.86,Mayonessa
8,,mayonesa mavesa P,2.40,1.98,Mayonessa
13,,mostaza eureka plastico,2.00,1.28,Mayonessa
935,,Agua Oxigenada,1.05,0.90,Medicinas
933,,Algodon,1.05,0.78,Medicinas
934,,Curitas,0.38,0.24,Medicinas
971,,Envase de Heces,0.26,0.18,Medicinas
936,,Fin al grip 500 mg,6.35,5.80,Medicinas
976,,Vaselina Baby Finger 55 gr,1.46,1.13,Medicinas
185,,acetaminofen,0.13,0.07,Medicinas
234,,alcohol 120cc,1.05,0.63,Medicinas
428,,algodon,0.80,0.63,Medicinas
660,,clorace antigripal caja,3.18,2.64,Medicinas
661,,clorace antigripal unidad,0.35,0.27,Medicinas
183,,diclofenac,0.12,0.09,Medicinas
315,,envase de orina,0.32,0.20,Medicinas
184,,ibuprofeno 800ml,0.20,0.11,Medicinas
659,,inyectadora,0.17,0.07,Medicinas
186,,loratadina,0.24,0.10,Medicinas
187,,metronidazol,0.23,0.15,Medicinas
188,,omeprazol,0.17,0.10,Medicinas
336,,torcilax,0.34,0.15,Medicinas
608,,catalina grande centro unidad,0.22,0.16,Panaderia Centro
607,,catalina grande paquete centro,2.22,1.64,Panaderia Centro
942,,Cortadito paquete,2.00,1.50,Panaderia Mario
834,,Pan Arabe,1.81,1.60,Panaderia Mario
950,,Pan Frances javi,1.35,1.00,Panaderia Mario
951,,Pan Sobado javi,1.35,1.00,Panaderia Mario
893,,Pan de coco paquete,3.70,3.20,Panaderia Mario
894,,Pan de coco unidad,0.40,0.32,Panaderia Mario
895,,Pan de leche grande,1.91,1.50,Panaderia Mario
922,,Quesadilla,2.40,2.00,Panaderia Mario
941,,Tunja mini,1.80,1.20,Panaderia Mario
866,,acemita grande,3.55,3.00,Panaderia Mario
245,,arequipe pequeno,1.23,1.10,Panaderia Mario
781,,cachitos paquete,1.23,1.00,Panaderia Mario
491,,catalina mario unidad,0.17,0.10,Panaderia Mario
458,,catalina paquete de 5 uni,2.00,1.50,Panaderia Mario
943,,cortado unidad,0.45,30.00,Panaderia Mario
865,,palmeritas,2.50,2.00,Panaderia Mario
244,,pan andino largo,1.88,1.50,Panaderia Mario
203,,pan de dios,1.20,0.90,Panaderia Mario
867,,pan de guayabita redondo paquete,2.37,1.90,Panaderia Mario
461,,pan de queso,2.00,1.70,Panaderia Mario
868,,pan guayabita redondo unidad,0.26,0.23,Panaderia Mario
635,,pan piñita,1.40,1.00,Panaderia Mario
773,,pastelito hojaldre paquete,2.56,2.10,Panaderia Mario
730,,pastelitos de hojaldre unidad,0.27,0.20,Panaderia Mario
870,,pecho e niña unidad,0.36,0.20,Panaderia Mario
869,,pecho eniña paquete,1.71,1.30,Panaderia Mario
246,,polvorosa paquete,2.13,1.50,Panaderia Mario
456,,polvorosas unidad,0.20,0.16,Panaderia Mario
